GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Calculator,au.com.xp.calculator,Calculator,0,113,0,6,0,19,0,7,0,4
Calculator,au.com.xp.calculator.exception,NotImplementedException,0,4,0,0,0,2,0,1,0,1
Calculator,au.com.xp.calculator.exception,InvalidOperandException,0,9,0,0,0,4,0,2,0,2
Calculator,au.com.xp.calculator.exception,InValidOperationException,0,4,0,0,0,2,0,1,0,1
Calculator,au.com.xp.calculator.operation,Squareroot,0,8,0,0,0,2,0,2,0,2
Calculator,au.com.xp.calculator.operation,Log,0,8,0,0,0,2,0,2,0,2
Calculator,au.com.xp.calculator.operation,Subtraction,0,13,0,0,0,2,0,2,0,2
Calculator,au.com.xp.calculator.operation,Addition,0,13,0,0,0,2,0,2,0,2
Calculator,au.com.xp.calculator.operation,Multiplication,0,22,0,0,0,4,0,2,0,2
Calculator,au.com.xp.calculator.operation,Power,0,8,0,0,0,2,0,2,0,2
Calculator,au.com.xp.calculator.operation,Division,0,26,0,2,0,4,0,3,0,2
Calculator,au.com.xp.calculator.operation,Cosine,0,8,0,0,0,2,0,2,0,2
Calculator,au.com.xp.calculator.operation,Sine,0,8,0,0,0,2,0,2,0,2
Calculator,au.com.xp.calculator.operation,Tangent,0,8,0,0,0,2,0,2,0,2
Calculator,au.com.xp.calculator.type,OperationType,9,228,0,4,1,27,2,9,2,7
Calculator,au.com.xp.boot,CalculatorMain,87,0,12,0,24,0,8,0,2,0
